epsilon,alignment,sigma1_sq,G_NL_TG,G_NL_PGD,test_index
1e-06,0.9999999999998879,7.937920313633766,7.937920720550373,7.937920722577652,1888
3.5938136638046257e-06,0.9999999999985512,7.937920313633766,7.9379217719036825,7.937921772337422,1888
1.2915496650148827e-05,0.9999999999812877,7.937920313633766,7.937925552701647,7.937925553328549,1888
4.641588833612782e-05,0.9999999997583198,7.937920313633766,7.937939140231364,7.9379391443027405,1888
0.0001668100537200059,0.9999999968785702,7.937920313633766,7.937987961700808,7.937988015651095,1888
0.0005994842503189409,0.9999999596846854,7.937920313633766,7.938163289421881,7.938163986109347,1888
0.0021544346900318843,0.9999994792864322,7.937920313633766,7.938791729245904,7.938800728711804,1888
0.007742636826811277,0.9999932740374636,7.937920313633766,7.9410287376324495,7.941145032483244,1888
0.02782559402207126,0.999913148152608,7.937920313633766,7.948785616905415,7.950289851613816,1888
0.1,0.9988868659969896,7.937920313633766,7.972781459541825,7.99220647723661,1888
1e-06,0.9999999999999778,5.381042543775136,5.3810418993084035,5.381041897034947,2202
3.5938136638046257e-06,0.9999999999997117,5.381042543775136,5.381040221643329,5.3810402214509665,2202
1.2915496650148827e-05,0.9999999999962736,5.381042543775136,5.381034197212254,5.381034197129798,2202
4.641588833612782e-05,0.9999999999518718,5.381042543775136,5.3810125461228395,5.381012546692207,2202
0.0001668100537200059,0.9999999993784144,5.381042543775136,5.380934727050418,5.3809347348917385,2202
0.0005994842503189409,0.9999999919726257,5.381042543775136,5.380654934965192,5.380655036275993,2202
0.0021544346900318843,0.9999998963555414,5.381042543775136,5.379647799793996,5.379649107665153,2202
0.007742636826811277,0.9999986629058538,5.381042543775136,5.376007525587975,5.376024383280009,2202
0.02782559402207126,0.9999827999919301,5.381042543775136,5.362657816013136,5.362873965162288,2202
0.1,0.9997807965148701,5.381042543775136,5.311310587171609,5.3140303660491925,2202
1e-06,0.9999999999999556,8.63434532552829,8.634346179848379,8.634346176300228,2517
3.5938136638046257e-06,0.9999999999994278,8.63434532552829,8.634348396467438,8.634348396352863,2517
1.2915496650148827e-05,0.999999999992609,8.63434532552829,8.634356357802263,8.63435635794733,2517
4.641588833612782e-05,0.9999999999045431,8.63434532552829,8.634384971818205,8.634384973866217,2517
0.0001668100537200059,0.999999998767137,8.63434532552829,8.634487778664994,8.634487804742937,2517
0.0005994842503189409,0.99999998407744,8.63434532552829,8.634856909595607,8.634857246251693,2517
0.0021544346900318843,0.9999997943746368,8.63434532552829,8.636179132440821,8.636183480806661,2517
0.007742636826811277,0.9999973453238012,8.63434532552829,8.640874420997084,8.640930587121161,2517
0.02782559402207126,0.9999657698304889,8.63434532552829,8.657010887856238,8.657736332691146,2517
0.1,0.9995615742621922,8.63434532552829,8.705143728665044,8.71448157467216,2517
1e-06,0.9999999999999714,14.86338127198949,14.863382825073055,14.863382830858676,2832
3.5938136638046257e-06,0.9999999999996327,14.86338127198949,14.863386871479351,14.863386871649679,2832
1.2915496650148827e-05,0.9999999999952585,14.86338127198949,14.863401393502905,14.863401393463548,2832
4.641588833612782e-05,0.9999999999387624,14.86338127198949,14.863453576471773,14.86345357851631,2832
0.0001668100537200059,0.9999999992091395,14.86338127198949,14.863641008765748,14.863641038409536,2832
0.0005994842503189409,0.99999998978806,14.86338127198949,14.864313277120157,14.864313659454712,2832
0.0021544346900318843,0.9999998682196932,14.86338127198949,14.866712103962675,14.866717039365371,2832
0.007742636826811277,0.99999830317718,14.86338127198949,14.87511042065305,14.87517404031812,2832
0.02782559402207126,0.9999783232288897,14.86338127198949,14.902384263110255,14.903199978958591,2832
